Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 10:21:13
FILENAME   : vei_t8303_160519102111_T8303.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8303
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
  Location                =vei_t8303
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:20:09 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16385
Date/time;Druk[cm];Temperatuur[°C]
2016/03/23 21:35:00;1036.0;7.86
2016/03/23 21:40:00;1036.0;7.86
2016/03/23 21:45:00;1036.1;7.86
2016/03/23 21:50:00;1036.1;7.86
2016/03/23 21:55:00;1036.0;7.86
2016/03/23 22:00:00;1036.1;7.86
2016/03/23 22:05:00;1036.1;7.86
2016/03/23 22:10:00;1036.1;7.86
2016/03/23 22:15:00;1036.1;7.86
2016/03/23 22:20:00;1036.1;7.86
2016/03/23 22:25:00;1036.0;7.86
2016/03/23 22:30:00;1036.0;7.86
2016/03/23 22:35:00;1036.1;7.86
2016/03/23 22:40:00;1036.1;7.86
2016/03/23 22:45:00;1036.3;7.87
2016/03/23 22:50:00;1036.3;7.87
2016/03/23 22:55:00;1036.3;7.87
2016/03/23 23:00:00;1036.3;7.87
2016/03/23 23:05:00;1036.3;7.87
2016/03/23 23:10:00;1036.3;7.87
2016/03/23 23:15:00;1036.0;7.88
2016/03/23 23:20:00;1036.1;7.87
2016/03/23 23:25:00;1036.1;7.87
2016/03/23 23:30:00;1036.0;7.88
2016/03/23 23:35:00;1036.0;7.88
2016/03/23 23:40:00;1036.0;7.88
2016/03/23 23:45:00;1036.0;7.88
2016/03/23 23:50:00;1036.0;7.88
2016/03/23 23:55:00;1036.0;7.88
2016/03/24 00:00:00;1036.0;7.88
2016/03/24 00:05:00;1036.1;7.88
2016/03/24 00:10:00;1036.0;7.88
2016/03/24 00:15:00;1036.1;7.88
2016/03/24 00:20:00;1036.0;7.88
2016/03/24 00:25:00;1036.1;7.88
2016/03/24 00:30:00;1035.9;7.89
2016/03/24 00:35:00;1036.1;7.89
2016/03/24 00:40:00;1036.1;7.89
2016/03/24 00:45:00;1036.1;7.89
2016/03/24 00:50:00;1036.1;7.89
2016/03/24 00:55:00;1035.9;7.89
2016/03/24 01:00:00;1036.0;7.90
2016/03/24 01:05:00;1036.0;7.90
2016/03/24 01:10:00;1035.8;7.90
2016/03/24 01:15:00;1036.0;7.90
2016/03/24 01:20:00;1036.0;7.90
2016/03/24 01:25:00;1035.8;7.90
2016/03/24 01:30:00;1035.8;7.90
2016/03/24 01:35:00;1035.8;7.90
2016/03/24 01:40:00;1035.8;7.90
2016/03/24 01:45:00;1035.6;7.90
2016/03/24 01:50:00;1035.8;7.90
2016/03/24 01:55:00;1035.8;7.90
2016/03/24 02:00:00;1035.6;7.90
2016/03/24 02:05:00;1035.6;7.91
2016/03/24 02:10:00;1035.8;7.91
2016/03/24 02:15:00;1035.6;7.91
2016/03/24 02:20:00;1035.6;7.91
2016/03/24 02:25:00;1035.7;7.92
2016/03/24 02:30:00;1035.9;7.92
2016/03/24 02:35:00;1035.9;7.92
2016/03/24 02:40:00;1035.9;7.92
2016/03/24 02:45:00;1035.9;7.92
2016/03/24 02:50:00;1035.7;7.92
2016/03/24 02:55:00;1035.6;7.92
2016/03/24 03:00:00;1035.6;7.92
2016/03/24 03:05:00;1035.4;7.92
2016/03/24 03:10:00;1035.6;7.92
2016/03/24 03:15:00;1035.4;7.92
2016/03/24 03:20:00;1035.3;7.92
2016/03/24 03:25:00;1035.3;7.93
2016/03/24 03:30:00;1035.1;7.93
2016/03/24 03:35:00;1035.1;7.93
2016/03/24 03:40:00;1035.1;7.93
2016/03/24 03:45:00;1035.3;7.93
2016/03/24 03:50:00;1035.1;7.93
2016/03/24 03:55:00;1035.1;7.94
2016/03/24 04:00:00;1035.1;7.94
2016/03/24 04:05:00;1034.9;7.94
2016/03/24 04:10:00;1034.9;7.94
2016/03/24 04:15:00;1034.7;7.94
2016/03/24 04:20:00;1034.9;7.94
2016/03/24 04:25:00;1034.7;7.94
2016/03/24 04:30:00;1034.7;7.94
2016/03/24 04:35:00;1034.7;7.94
2016/03/24 04:40:00;1034.7;7.94
2016/03/24 04:45:00;1034.7;7.94
2016/03/24 04:50:00;1034.6;7.95
2016/03/24 04:55:00;1034.7;7.95
2016/03/24 05:00:00;1034.7;7.95
2016/03/24 05:05:00;1034.7;7.95
2016/03/24 05:10:00;1034.6;7.95
2016/03/24 05:15:00;1034.6;7.95
2016/03/24 05:20:00;1034.6;7.95
2016/03/24 05:25:00;1034.5;7.96
2016/03/24 05:30:00;1034.4;7.96
2016/03/24 05:35:00;1034.5;7.96
2016/03/24 05:40:00;1034.5;7.96
2016/03/24 05:45:00;1034.4;7.96
2016/03/24 05:50:00;1034.4;7.96
2016/03/24 05:55:00;1034.4;7.96
2016/03/24 06:00:00;1034.4;7.96
2016/03/24 06:05:00;1034.5;7.96
2016/03/24 06:10:00;1034.7;7.96
2016/03/24 06:15:00;1034.5;7.96
2016/03/24 06:20:00;1034.5;7.96
2016/03/24 06:25:00;1034.7;7.96
2016/03/24 06:30:00;1034.7;7.97
2016/03/24 06:35:00;1034.7;7.97
2016/03/24 06:40:00;1034.9;7.97
2016/03/24 06:45:00;1034.7;7.97
2016/03/24 06:50:00;1034.9;7.97
2016/03/24 06:55:00;1034.9;7.97
2016/03/24 07:00:00;1034.9;7.97
2016/03/24 07:05:00;1034.9;7.98
2016/03/24 07:10:00;1035.1;7.98
2016/03/24 07:15:00;1034.9;7.98
2016/03/24 07:20:00;1034.9;7.98
2016/03/24 07:25:00;1035.1;7.98
2016/03/24 07:30:00;1035.1;7.98
2016/03/24 07:35:00;1035.2;7.98
2016/03/24 07:40:00;1035.1;7.98
2016/03/24 07:45:00;1035.1;7.98
2016/03/24 07:50:00;1035.1;7.98
2016/03/24 07:55:00;1035.1;7.98
2016/03/24 08:00:00;1035.1;7.98
2016/03/24 08:05:00;1034.9;7.98
2016/03/24 08:10:00;1034.9;7.98
2016/03/24 08:15:00;1035.1;7.99
2016/03/24 08:20:00;1034.9;7.99
2016/03/24 08:25:00;1035.1;7.99
2016/03/24 08:30:00;1035.1;7.99
2016/03/24 08:35:00;1034.9;7.99
2016/03/24 08:40:00;1035.1;7.99
2016/03/24 08:45:00;1035.1;7.99
2016/03/24 08:50:00;1035.1;7.99
