Data file for DataLogger.;;
23/03/2016 20:30;1324.2;12.05
23/03/2016 20:35;1325.2;12.03
23/03/2016 20:40;1325.5;12.05
23/03/2016 20:45;1325.2;12
23/03/2016 20:50;1325.5;12.03
23/03/2016 20:55;1325.5;12.06
23/03/2016 21:00;1324.9;12.08
23/03/2016 21:05;1324.2;12.06
23/03/2016 21:10;1323.9;11.99
23/03/2016 21:15;1324.7;12.06
23/03/2016 21:20;1324.8;12.07
23/03/2016 21:25;1324.9;12.05
23/03/2016 21:30;1324.9;12.05
23/03/2016 21:35;1324.9;12.08
23/03/2016 21:40;1324.9;12.07
23/03/2016 21:45;1324.7;12.05
23/03/2016 21:50;1324.4;12.07
23/03/2016 21:55;1324.7;12.05
23/03/2016 22:00;1324.9;11.97
23/03/2016 22:05;1324.7;11.98
23/03/2016 22:10;1324.7;12.05
23/03/2016 22:15;1324.7;12.09
23/03/2016 22:20;1324.6;12.07
23/03/2016 22:25;1324.7;12.05
23/03/2016 22:30;1324.7;12.09
23/03/2016 22:35;1324.2;12.03
23/03/2016 22:40;1324.5;12.1
23/03/2016 22:45;1324.5;12.07
23/03/2016 22:50;1324.7;12
23/03/2016 22:55;1324.2;12.03
23/03/2016 23:00;1324.6;12.05
23/03/2016 23:05;1324.2;12.03
23/03/2016 23:10;1324.5;12.01
23/03/2016 23:15;1324.7;12.06
23/03/2016 23:20;1324.5;12.1
23/03/2016 23:25;1324.6;12.07
23/03/2016 23:30;1323.9;12.02
23/03/2016 23:35;1324.2;12.03
23/03/2016 23:40;1324.5;12.06
23/03/2016 23:45;1324.4;12.07
23/03/2016 23:50;1324.2;12.06
23/03/2016 23:55;1323.9;12.04
24/03/2016 0:00;1323.6;12.02
24/03/2016 0:05;1324.2;12.03
24/03/2016 0:10;1324.2;12.05
24/03/2016 0:15;1323.6;12.01
24/03/2016 0:20;1323.4;12.04
24/03/2016 0:25;1323.9;12.03
24/03/2016 0:30;1324.2;12.03
24/03/2016 0:35;1323.9;12.05
24/03/2016 0:40;1323.9;11.99
24/03/2016 0:45;1324.4;11.99
24/03/2016 0:50;1324.2;12.01
24/03/2016 0:55;1324.4;11.99
24/03/2016 1:00;1323.9;12.02
24/03/2016 1:05;1323.6;12.03
24/03/2016 1:10;1323.9;11.99
24/03/2016 1:15;1323.9;12.01
24/03/2016 1:20;1322.8;12.01
24/03/2016 1:25;1323.9;12.02
