array_sum: 0.014399 s (10000000.0)
sum: 0.011866 s (10000000.0)
py_sum: 4.600296 s (10000000.0)
         43255 function calls (41217 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 core.py:2659(MaskedArray)
        1    0.000    0.000    0.154    0.154 __init__.py:106(<module>)
       31    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
      164    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      680    0.000    0.000    0.000    0.000 {built-in method release_lock}
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      609    0.000    0.000    0.000    0.000 {built-in method get_ident}
        1    0.000    0.000    0.124    0.124 add_newdocs.py:10(<module>)
        5    0.000    0.000    0.005    0.001 __init__.py:301(namedtuple)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
        9    0.000    0.000    0.000    0.000 datetime.py:302(__new__)
    15/14    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:1708(load_module)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1631(path_stats)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:358(extend_all)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:268(__exit__)
      124    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
       31    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       13    0.000    0.000    0.000    0.000 sre_compile.py:408(<listcomp>)
  122/120    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
       19    0.000    0.000    0.019    0.001 sre_compile.py:563(compile)
      215    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        6    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       38    0.000    0.000    0.000    0.000 {built-in method array}
       19    0.000    0.000    0.007    0.000 sre_parse.py:750(parse)
       25    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x4020fce0}
      248    0.000    0.000    0.000    0.000 sre_compile.py:107(fixup)
      409    0.000    0.000    0.000    0.000 {built-in method chr}
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:301(_add_aliases)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
       32    0.000    0.000    0.009    0.000 sre_compile.py:227(_compile_charset)
       27    0.000    0.000    0.000    0.000 core.py:860(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
       81    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      143    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      227    0.000    0.000    0.000    0.000 sre_parse.py:214(match)
        1    0.000    0.000    0.007    0.007 tokenize.py:21(<module>)
      328    0.000    0.000    0.000    0.000 {built-in method getlower}
      265    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
    107/3    0.000    0.000    0.156    0.052 <frozen importlib._bootstrap>:1122(_exec)
       19    0.000    0.000    0.000    0.000 nosetester.py:179(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
       23    0.000    0.000    0.001    0.000 core.py:6267(getdoc)
      171    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
      126    0.000    0.000    0.000    0.000 {built-in method setattr}
       19    0.000    0.000    0.001    0.000 sre_compile.py:444(_compile_info)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
      388    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
      124    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
     11/6    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
